Nombre,Circunscripción Territorial,Partido,Correo,Oficina,Teléfono,Facebook,Twitter,Youtube,Instagram
Adriana Carolina Arbeláez Giraldo,Bogotá,Cambio Radical,carolina.arbelaez@camara.gov.co,512 - 513 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3545,https://www.facebook.com/CaroArbelaezGiraldo,https://twitter.com/kroarbelaez,https://www.youtube.com/@carolinaarbelaez9271,https://www.instagram.com/caroarbelaezg/
Agmeth José Escaf Tijerino,Atlántico,Coalición Pacto Histórico,agmeth.escaf@camara.gov.co,337B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3198 - 3199,https://www.facebook.com/aescaf/?locale=es_LA,https://twitter.com/agmethescaf?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,https://www.instagram.com/agmethescaf/?hl=es
Alejandro García Ríos,Risaralda,Partido Alianza Verde,alejandro.garcia@camara.gov.co,448B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3418 - 3419,https://www.facebook.com/AlejandroGarciaPEI,https://twitter.com/AlejoGarciaRios,,https://www.instagram.com/alejandrogarciapei/
Alexander Harley Bermúdez Lasso,Guaviare,Partido Liberal,alexander.bermudez@camara.gov.co,533 - 534 - Edificio Nuevo Congreso ,+(57) (601) 8770720 Ext: 3599,https://www.facebook.com/alexbermudezla,https://twitter.com/alexbermudezla,,https://www.instagram.com/alexbermudezla/?hl=es-la
Alfredo Ape Cuello Baute,Cesar,Partido Conservador Colombiano,alfredo.cuello@camara.gov.co,Piso 2 - Capitolio Nacional, +(57) (601) 8770720 Ext: 5294 - 3160,https://www.facebook.com/apecuelloperfil/?locale=es_LA,,,https://instagram.com/apecuello?igshid=YmMyMTA2M2Y=
Álvaro Henry Monedero Rivera,Valle del Cauca,Partido Liberal,alvaro.monedero@camara.gov.co,Mezanine Norte Of 5 - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 5311,https://es-la.facebook.com/alvaro.h.rivera.5,https://twitter.com/ahmonedero?lang=es,,https://www.instagram.com/ahmonedero/?hl=es
Alexander Guarín Silva,Guainía,Partido de la U,alexander.guarin@camara.gov.co,401B - 443B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3101,https://www.facebook.com/profile.php?id=100076592769391&mibextid=ZbWKwL,https://twitter.com/AlexGuarinS?t=sH2payhb0b-mFk9KeJ9r2Q&s=09,,https://instagram.com/alexander.guarins?igshid=YmMyMTA2M2Y=
Armando Antonio Zabaraín de Arce,Atlántico,Partido Conservador Colombiano,armando.zabarain@camara.gov.co,525 - 526 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3569 - 3570,https://www.facebook.com/profile.php?id=100070516189773&mibextid=LQQJ4d,https://twitter.com/armandozabarain?s=11&t=8c132PEngRGEV8o2pKVwlQ,,https://instagram.com/armandozabaraind?igshid=YmMyMTA2M2Y=
Alirio Uribe Muñoz,Bogotá,Coalición Pacto Histórico,alirio.uribe@camara.gov.co,419B - 420B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3458 - 3457,https://www.facebook.com/aliriouribem/?locale=es_LA,https://twitter.com/AlirioUribeMuoz?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,https://www.instagram.com/aliriouribem/?hl=es
Álvaro Mauricio Londoño Lugo,Vichada,Partido de la U,alvaro.londono@camara.gov.co,532B - 533B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 4088 - 4089,https://www.facebook.com/VotaU103,,,
